Greenhouse Id, Greenhouse Name, Sensor Name, Device Id, Sensor Id, Sensor Type, Value, Timestamp (UTC), Japan Timestamp (JST)
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.54338,2018-01-12 18:20:53,2018-01-13 03:20:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.66298,2018-01-12 18:30:53,2018-01-13 03:30:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.516853,2018-01-12 18:40:53,2018-01-13 03:40:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.420218,2018-01-12 18:50:52,2018-01-13 03:50:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.45443,2018-01-12 19:00:52,2018-01-13 04:00:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.578588,2018-01-12 19:10:52,2018-01-13 04:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.343315,2018-01-12 19:20:53,2018-01-13 04:20:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.221642,2018-01-12 19:30:52,2018-01-13 04:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.205276,2018-01-12 19:40:52,2018-01-13 04:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.236866,2018-01-12 19:50:52,2018-01-13 04:50:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.305809,2018-01-12 20:00:53,2018-01-13 05:00:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.434116,2018-01-12 20:10:53,2018-01-13 05:10:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.522152,2018-01-12 20:20:52,2018-01-13 05:20:52
